Prompt Type,N,N+,N,N+,N,N+
Metric,S,S,M,M,KL,KL
Algorithm,,,,,,
FT,0.3371518313166973,0.2680592038896026,0.13498585968049354,0.19704035202419087,1.8011406443672166e-05,1.0271936799530526e-05
ROME,0.3099021498758825,0.19532640543139332,0.0799719030017045,0.26523285445118966,9.825367531075765e-06,1.8514614999597332e-05
gpt2-medium,0.3001466085832128,0.36100116943126903,0.06951642353946727,0.13283695917056315,0.0,0.0
