,GPT-J (6B),FT-L,MEMIT,ROME
count,1000.0,1000.0,1000.0,1000.0
mean,0.11438921328324524,0.093071168178401,-0.020744897763376017,-0.12147990404658164
std,0.00113976295044599,0.0013163387150030845,0.0016640648363955423,0.001993952961481919
min,0.1104568465132902,0.0885076640185384,-0.0266424877027972,-0.1273611870127023
0.5%,0.11119710501709372,0.0897746496961347,-0.024989762849336107,-0.12655905719498345
50%,0.11438526279703859,0.09310022247271725,-0.02069187976748275,-0.12141674643584896
99.5%,0.11700291850700159,0.09607284056157374,-0.01658261384918993,-0.11663406666354419
max,0.1175211321543557,0.0964816361243349,-0.0159319902676036,-0.1154317099346444
