,GPT-J (6B),FT-L,MEMIT,ROME
count,1000.0,1000.0,1000.0,1000.0
mean,0.8339964339325445,0.7907385620156699,0.8156833061031448,0.7911740446163199
std,0.0017966312673281162,0.0019043878118217726,0.001860999129983076,0.0019281257078068972
min,0.8285239627061435,0.7853976333871321,0.8099318166284201,0.7852224327910622
0.5%,0.8298364244111036,0.786016117588668,0.8110142496198117,0.7864600690078895
50%,0.8340086131384155,0.7907884867658496,0.8157070513635153,0.7911382424950062
99.5%,0.8385774906632161,0.7953205237472218,0.8200004326568302,0.7959869339674784
max,0.8395850538562701,0.796364642967088,0.8217809125485372,0.7969350873940108
