,GPT-J (6B),FT-L,MEMIT,ROME
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,5.193416225675875e-06,9.9402069219774e-06,1.8332107839197194e-05
std,0.0,3.181752622737721e-08,6.871013303752053e-08,1.1429475891874265e-07
min,0.0,5.09990401670996e-06,9.709990720311947e-06,1.7976935606692705e-05
0.5%,0.0,5.110180765266547e-06,9.755873868610668e-06,1.802649993237906e-05
50%,0.0,5.193674580429633e-06,9.940415440866524e-06,1.8333297044970336e-05
99.5%,0.0,5.274170623683426e-06,1.0108565203598705e-05,1.8616306466398973e-05
max,0.0,5.308429675603545e-06,1.0140799164840088e-05,1.8741298260885376e-05
