,GPT-J (6B),FT-L,MEMIT,ROME
count,1000.0,1000.0,1000.0,1000.0
mean,0.633262936997159,0.5436506936309808,0.40137244705112324,0.3281531857172348
std,0.0023150211252995455,0.0022697398139691523,0.002247406890077797,0.002163229557110627
min,0.6242904173857301,0.5363128349439816,0.3943180486098691,0.3211362180655897
0.5%,0.6275253595786187,0.5378879710243404,0.39523157010239973,0.32288872434178123
50%,0.6333017053037974,0.543761361985954,0.4013933241082268,0.3280965899346237
99.5%,0.6385298923504765,0.5498694033171223,0.4067458986751495,0.33335777781885284
max,0.6403530616831378,0.5502178911928579,0.4079528827601535,0.3349701684199896
