,GPT-J (6B),FT-L,MEMIT,ROME
count,1000.0,1000.0,1000.0,1000.0
mean,0.0,3.2377982840754074e-06,9.214965837982701e-07,3.5110975899115643e-06
std,0.0,6.169792861546631e-08,4.6650437329607236e-08,1.155041031720631e-07
min,0.0,3.035454631886417e-06,7.808856780041529e-07,3.127829809094163e-06
0.5%,0.0,3.093051035520447e-06,7.950010313050235e-07,3.1822541044463452e-06
50%,0.0,3.2379101040713237e-06,9.231288830096699e-07,3.51163151470108e-06
99.5%,0.0,3.387834703194507e-06,1.0376880999803982e-06,3.7896220688927394e-06
max,0.0,3.423979145774525e-06,1.0581099734743983e-06,3.850275161429022e-06
